Id,Body,Title,AcceptedAnswerId,CreationDate,AnswerCount,CommentCount
"374051","I would like to have a GnomeCanvas text item and according to its content (and the content language) decide whether to align the text to the right or to the left.
I found one way to do it by changing the anchor property, but using this method would require me to manage the anchor position myself (change it to the right of the text bounding box when aligning to the right), and it seems there must be a simpler way.

EDIT: I see there is also the justification property, which allows me to align the text to the right. However, I still need to set the anchor point according to the language, instead of setting a bounding box that would apply to any language.
","How can I align text inside a GnomeCanvas text item","449831","2008-12-17 09:15:55","1","0"
"406403","As I'm switching from Windows to Ubuntu/Gnome, I'm looking for an alternative to UltraEdit.

I tried a few tools, but they often lack some really useful features, such as:


Syntax coloration
FTP editing of files (access files on a FTP without using an external application)
Character set management.


Which one do you use? And what are their major features?
","Best Gnome alternative to UltraEdit?","406460","2009-01-02 09:51:39","8","1"
"483460","On my Ubuntu linux box I can easily mount USB connected drives or CDROM clicking on devices icons that I can found on the Desktop.

For example if I click on a USB connected drive icon the following things happen:


a /media/LABEL directory is automatically created (where LABEL is the label of the disk and may vary from disk to disk)
the filesystem on the device is mounted on /media/LABEL


This process is significantly different from mounting using the mount command. In particular: 


you don't need to be root (or you don't need to modify /etc/fstab to allow ordinary user to mount the device)
the /media/LABEL directory is automatically created
the name of the directory changes according the volume label.


There is a command line command that behaves like the Gnome GUI mounting facilities does?
","How to mount from command line like the Nautilus does?","483476","2009-01-27 13:51:23","9","0"
"500501","I am comfortable with C. but need to learn GObject and Glib for gstreamer. All i found on net is Gobject reference manual. Its good but looking for tutorial for Gobject/Glib as the main focus is on gstreamer.

So pls share any other resources to learn the glib and gobject.
","Material to learn GObject and Glib","501782","2009-02-01 09:43:17","6","0"
"500208","I would like to get my feet wet contributing to Gnome projects. I've downloaded svn sources of various projects and tried to explore the code but obtaining a working understanding of any of the projects, even the simpler ones like Eye of Gnome, seems intractable.  

I admit, I am used to developing C/C++ in IDEs such as Eclipse CDT which have the ability to ""Go to definition"" for function calls and variable usage--this kind of feature is very useful for understanding how execution happens. Of course, one could use grep for this, but it seems a bit obtuse (for me).

So my question is, what tools have helped you explore code you're not familiar with? Is there a good IDE? or perhaps a way of importing projects into an IDE? Do I just need to ""deal with it"" and struggle my way through with a plain old text editor?

I would love to get involved, I just need a little advice :)
","Best tools to use to explore and develop Gnome projects?","500233","2009-02-01 04:31:02","5","0"
"502934","How can I set the horizontal size of a specific column on a GtkTreeView? I have 4 columns on my TreeView and the last one expands on the rest of the free space. How can I set the first or second column to be expanded on the free space os set a fixed width on all columns?
","Column-Size on GtkTreeViews","508730","2009-02-02 11:46:03","2","0"
"501597","Currently I'm using the auto-tools to build/install and package a project of mine, but I would really like to move to something that feels more ""pythonic"".

My project consists of two scripts, one module, two glade GUI descriptions, and two .desktop files.  It's currently a pure python project, though that's likely to change soon-ish.

Looking at setuptools I can easily see how to deal with everything except the .desktop files; they have to end up in a specific directory so that Gnome can find them.

Is using distuils/setuptools a good idea to begin with?
","How to distribute `.desktop` files and icons for a Python package in Gnome (with distutils or setuptools)?","24116911","2009-02-01 21:18:01","4","0"
"551622","Is there a good guide or tutorial for writing GNOME applets with Ruby?
","How to write a GNOME applet with Ruby","553328","2009-02-15 21:22:59","1","0"
"578702","I would like to access the desktop menus for Applications, System, etc. via my keyboard instead of my mouse.

Edit: <kbd>Ctrl</kbd> + <kbd>Alt</kbd> + <kbd>Tab</kbd> only lets me choose amongst the windows I have opened. There is no option to choose the desktop menus. Nothing happens with <kbd>Ctrl</kbd> + <kbd>Alt</kbd> + <kbd>Esc</kbd>. (I've looked at various pages for gnome desktop shortcuts).
","Are there keyboard shortcuts to access the desktop menu in Gnome or how can I create them?","578778","2009-02-23 18:17:35","2","0"
"583093","Is there any way to create a service menu on Gnome? 

In kde it's simply a .desktop file placed in $HOME/.kde/share/kde4/services/ServiceMenus/

Does it exist a similar thing in Gnome?
","Service menu on Gnome desktop environment","583337","2009-02-24 19:00:30","1","0"
"609282","I have a Gtk::TreeView with a Gtk::TreeModel and a Gtk::TreeModelFilter. The Tree Model is like this:

category1
  --&gt; actual row of data
category2
  --&gt; actual row of data


I want to filter on the contents of @search_entry, but I want category1 to be displayed if a row under it is still visible, and category2 to be hidden if there are no rows under it still visible. My understanding of Gtk::TreeModelFilter#set_visible_func is that you get the model and iter from the ""child model"", so that you can check whether to display the child iter. This function gets called on every iter in the model every time I call Gtk::TreeModelFilter#refilter.Therefore I'm saying: if the iter you just gave me is on the first level, get the path, step down one, convert to the same path on the filter's model and use whether the new path exists to test visibility. 

@store = Gtk::TreeStore.new(Gdk::Pixbuf, String, String, Menagerie::Program, TrueClass)
@tree_filter = Gtk::TreeModelFilter.new(@store)
@treeview.model = @tree_filter

# @first_time gets set to false after the model is loaded the first time
@first_time = true
@tree_filter.set_visible_func do |model, iter|
  has_visible_children = true
  begin
    iter_path = iter.path
    if iter_path.depth == 1 &amp;&amp; @first_time != true
      iter_path.down!
      has_visible_children = @tree_filter.convert_child_path_to_path(iter_path) ? true : false
    end
  rescue =&gt; e
    puts ""THIS ERROR: "" + e.message
  end
  unless @search_entry.text == """"
    if [1,2].collect {|i| iter[i] =~ /#{@search_entry.text}/i }.any?
      true
    elsif iter[4] == true and has_visible_children
      true
    else
      false
    end
  else
    true
  end
end


The line           

has_visible_children = @tree_filter.convert_child_path_to_path(iter_path) ? true : false


is causing a ""THIS ERROR: stack level too deep"" output for each iter. 

There's an infinite recursion going on here, but I don't see where it's happening or how I can avoid it. I'm sure I'm thinking about this the wrong way, but I've been hacking on this a couple days without a breakthrough.
","Stack level too deep error Ruby-Gnome2","612775","2009-03-04 04:56:23","2","0"
"627351","I have been hacking on the code for Xournal in order to add auto-save functionality. My initial implementation was very dumb: every 60 or so seconds, do a save. The feature ostensibly works.

However, after testing it out for a while, I've noticed that when auto-save runs, the application temporarily freezes up, which is quite annoying if you're in the middle of a pen stroke. I'm trying to figure out how to fix this.

One possibility I've thought up of is for autosave to check whether or not the pen is touching the screen before autosaving; if it is touched, attach a one time only callback scheduled for a second after the pen is lifted. (if the same thing happens, repeat). Another possibility would be to optimize the save function sufficiently such that there is no gap (seems unlikely).

Anyone have any suggestions about this? Xournal uses the Gnome/GTK toolkit, and is written in C.

Update: I implemented the anti-clobber logic, and I'm very happy with the resulting autosave granularity and performance. One of those times threads are (thankfully) not necessary! Thanks all for your suggestions.
","Implementing autosave w/o disruption","627439","2009-03-09 17:57:37","6","0"
"647074","What is the easiest way to make Linux C++ GUI apps? I'm using GNOME and ubuntu 8.10.
","How to make Linux C++ GUI apps","647075","2009-03-15 01:27:29","8","0"
"768704","I really want to learn C (I'm planning on joining an open source GNOME project). What would be a good tutorial?
","Great C tutorial?","768715","2009-04-20 15:11:00","10","3"
"766775","How do you add a 'keyword' to the GEdit list of keywords? I basiclly want to make the printf function look like a keyword.

printf(""Hello World\n"");

","Creating your own syntax highlighting in GEdit?","766795","2009-04-20 03:27:07","2","0"
"825969","I'm asking this question after I got a very good answer to: <a href=""http://stackoverflow.com/questions/416313/how-do-i-detect-the-2-states-of-switch-user-in-windows"">How do I detect the 2 states of “Switch User” in Windows</a>

My intention is to find out if the Switch User under KDE/Gnome has a similar API call I can monitor with FreePascal.

If not with FreePascal, at least the respective lib entry used in C/C++
","Detect enter/exit session under KDE/Gnome with FreePascal","834368","2009-05-05 17:15:24","2","0"
"836086","I'm developing a little side-project to display multiple wallpapers on multiple screens under GNOME (something that apparently can't be done by GNOME itself or anything else). I've figured out how to do the main part of it (using the ImageMagick components, for the curious); I'm trying to automate the configuration system.

To do that, I need a way to determine the dimensions of the individual screens are. Can anyone give me a hint where to look for that? I presume the X server itself has the information, but I'm not sure how my program can ask for it.
","Programmatically determining individual screen widths/heights in Linux (w/Xinerama, TwinView, and/or BigDesktop)","836376","2009-05-07 17:48:10","4","1"
"844677","Whenever I start my console gnome-terminal in Ubuntu, it starts in the home directory. How can I make it start in a different directory say ~/myfolder?
I tried to write cd ~/myfolder in ~/.profile but nothing happens.
","Gnome-Terminal, how to start in a different directory?","844704","2009-05-10 04:17:25","8","1"
"927151","How do I find out the user's ""preferred web browser"", if they're using Gnome desktop environment? (I want to open a webpage, I don't need to know which browser the user prefers.)

Some background:
I'm trying to open a browser window (my homepage) with my Java app.


if Java version is 1.6+, use Desktop.browse(url); 
otherwise, use <a href=""http://www.centerkey.com/java/browser/"" rel=""nofollow"">BareBonesBrowserLaunch.openURL(url)</a> - that means checking the environment and starting a browser with Runtime.getRuntime().exec()


Method 2 works on Windows just fine; and opens a browser on Linux. However, it's the first browser that it finds (in my case, looks for Firefox first). In Gnome desktop environment (e.g. Ubuntu Linux has that by default), you could set your ""Preferred Applications"" for e-mail, www browsing etc; I believe this information is accesible somewhere. How can I find out which is the user's preferred browser?

In other words: where does Gnome store the ""Preferred Browser"" setting?
","Respecting/reading the ""Preferred Applications"" settings in Gnome (Linux)","2289145","2009-05-29 17:18:53","3","0"
"928809","What would be a Gnome source code editor, closest to Notepad++. I'm particularly interested in:


Python auto-completion;
Source-code highlighting;
Basic text modigfication macroses.

","Source code editor for linux?","928817","2009-05-30 02:22:49","8","0"
"952551","I have an application that sends the focus to other windows but those windows then don't automatically display themselves in the foreground, i.e. on top of all the other windows. Where can I configure the preferences of my window manager so that this is the default behaviour?

In particular I'm using the Ctrl-0 and Ctrl-Shft-0 shortcuts in the MATLAB IDE to move between the command window and the editor window and although the focus seems to be transferred the new window doesn't automatically redraw itself in the foreground.

Thanks
","How do I make a window move to the top of other windows in Gnome when that window already has the focus?","973448","2009-06-04 19:16:00","3","0"
"977252","I am working on a demo application for a library me and two colleagues are writing to allow GNOME applications that run audio events though libCanberra to allow users to select visual events to replace them. This is an accessibility-minded effort to help both visually and aurally impaired users gain the benefits of audio alerts and such.

For our first demo we're simply trying to make the entire screen flash with a color when a button is pressed in our simple GTK sample app. I've been looking at the GTK documentation and all drawing that I've seen has had to do with drawing directly to a window or other widget. I want to control the entire screen's hue. Would this be a GDK thing? Am I completely off base?

Any links/help will be much appreciated! Thanks.

PS: This is being written in C, though functions should be the same between languages with proper bindings, I assume.
","Drawing directly to the screen via GTK or GDK","1070407","2009-06-10 18:04:42","2","0"
"1006193","Can a GNOME application be automated? I.e., can I programatically interact with its user inteface?

How?
","Can a GNOME application be automated? How?","1007949","2009-06-17 10:21:09","3","1"
"1022520","I'm using Gnome now and want to install XFCE. Nothing complicated but just curious - do all applications, installed previously on Gnome will be also removed or they would work on XFCE properly after installing XFCE and removing Gnome ?

OS: Linux Mint 7
","Moving from Gnome to XFCE","1022532","2009-06-20 20:48:47","3","2"
"1025244","I need to stop GNOME/Nautilus from automagically mounting new devices and partitions as they appear to the system. How can I accomplish this in python?
","Disable GNOME's automount with Python","1025369","2009-06-22 01:54:08","1","0"
"1026173","I have two xterms and several gnome-terminal windows active on my X display.

However, xlsclients only shows one gnome-terminal client.

$ xlsclients   
luban.local  /usr/X11/bin/xterm
ohm  gnome-terminal
luban.local  xterm


How can I get a list of the gnome-terminal sessions attached to my display?
","X11: get list of all gnome-terminal windows on my display?","1028833","2009-06-22 09:01:19","2","0"
"1026225","I'm spawning some processes running in their own gnome-terminal and
don't want to show the scrollbar.  Is there something like xterm +sb
to turn the scrollbar off for that particular window?
","gnome-terminal: how to eliminate the scrollbar programatically?","1026268","2009-06-22 09:16:47","1","0"
"1124171","I have ubuntu + x11 + gnome.

I want to run a graphical application as another user.

However, when I start it from the command line using sudo -u otheruser app I get the error ""No protocol specified"".

How can I work arround this?
","X11: run a gnome app as another user","1124270","2009-07-14 08:31:05","5","1"
"1220826","How would I change the wallpaper on a Linux desktop (using GNOME) within a C/C++ program? Is there a system API to do it?
","Changing wallpaper on Linux programmatically","1221064","2009-08-03 05:58:59","3","1"
"1360563","I'm trying to figure out how to detect when the current user has changed their workspace in Mono. I'm not even really sure how the workspace aspect of Gnome operates. A brief look through Monodoc didn't turn anything up, and I couldn't locate a GConf key that gave me what I wanted either.

Update:
The method below will ONLY work if Compiz is not set to have a virtual size. For instance, if you set the number of desktops in Compiz to 1 with a horizontal virtual size of 2, Gdk.Global.CurrentDesktop will return 0 for both workspaces.

So does anyone know of a method for finding if the workspace has been changed when Compiz has virtual desktops enabled?
","Detecting Changed Workspace in Gnome","1360598","2009-09-01 04:46:17","2","0"
"1424533","Is there a good way to test whether I am logging into a text shell or starting a GUI session in my .bashrc?  For example, to set my editor to gedit if in gnome and emacs if using a command line.
","Testing for GUI in .bashrc","1424552","2009-09-15 00:23:49","2","0"
"1482565","I am running a little program in python that launches a small window that needs to stay on top of all the other windows. I believe this is OS specific, how is it done in GNU-Linux with GNOME?

[Update - Solution for Windows]

Lovely, I think I got it working. I am using Python 2.5.4 with Pygame 1.9.1 in Eclipse on Vista 64-bit. Thus, this is for windows systems. The SetWindowPos function is documented <a href=""http://msdn.microsoft.com/en-us/library/ms633545%28VS.85%29.aspx"" rel=""nofollow"">Here</a>. I will refer to this in my explanation.

Imports:

from ctypes import windll


Then I set up a variable that calls the ""SetWindowPos"" in user32:

SetWindowPos = windll.user32.SetWindowPos


Now, let's say I just made a window:

screen = pygame.display.set_mode((100,100), pygame.NOFRAME)


The next line is the key. This sets the window to be on top of other windows.

SetWindowPos(pygame.display.get_wm_info()['window'], -1, x, y, 0, 0, 0x0001)


Basically, You supply the hWnd(Window Handle) with the window ID returned from a call to display.get_wm_info(). Now the function can edit the window you just initialized.

The -1 is our hWndInsertAfter.

The MSDN site says:

<blockquote>
  A window can be made a topmost window either by setting the hWndInsertAfter parameter to HWND_TOPMOST and ensuring that the SWP_NOZORDER flag is not set, or by setting a window's position in the Z order so that it is above any existing topmost windows. When a non-topmost window is made topmost, its owned windows are also made topmost. Its owners, however, are not changed.
</blockquote>

So, the -1 makes sure the window is above any other existing topmost windows, but this may not work in all cases. Maybe a -2 beats a -1? It currently works for me. :)

The x and y specify the new coordinates for the window being set. I wanted the window to stay at its current position when the SetWindowPos function was called on it. Alas, I couldn't find a way to easily pass the current window (x,y) position into the function. I was able to find a work around, but assume I shouldn't introduce a new topic into this question.

The 0, 0, are supposed to specify the new width and height of the window, in pixels. Well, that functionality is already in your pygame.display.set_mode() function, so I left them at 0. The 0x0001 ignores these parameters. 

0x0001 corresponds to SWP_NOSIZE and is my only uFlag. A list of all the available uFlags are on the provided documentation page. Some of their Hex representations are as follows:


SWP_NOSIZE          =   0x0001
SWP_NOMOVE          =   0x0002   
SWP_NOZORDER        =   0x0004
SWP_NOREDRAW        =   0x0008
SWP_NOACTIVATE      =   0x0010
SWP_FRAMECHANGED    =   0x0020
SWP_SHOWWINDOW      =   0x0040
SWP_HIDEWINDOW      =   0x0080
SWP_NOCOPYBITS      =   0x0100
SWP_NOOWNERZORDER   =   0x0200
SWP_NOSENDCHANGING  =   0x0400


That should be it! Hope it works for you! 

Credit to John Popplewell at john@johnnypops.demon.co.uk for his help.
","How to make python window run as ""Always On Top""?","1482733","2009-09-27 01:25:09","3","0"
"1515172","Very often I need two gnome-terminal sessions at the same location.  Is it possible to open a single terminal, get to the directory I need, and make a duplicate of the terminal so I don't have to type in the cd command (which can get lengthy) a second time in the second window?
","Gnome Terminal Duplication","1515183","2009-10-03 23:43:10","2","0"
"1523746","I'm using vim in gnome-terminal (2.26.0): although I use 95% of the time ""$"" to navigate to the EOL and ""0"" for the opposite, every now and then I hit ""Home"" or ""End"". 
When I use Home, the text I have in the current line is moved on line down, leaving me in insert mode in the current line and the letter H appears at the beginning of the line.
When I hit End, it's the same but with an F instead of H.

Why does it happen? How can I fix it? (fixing would mean to have the standard functionality when hitting these keys).

TIA,
Mariano
","Fix Home and End","1523821","2009-10-06 05:28:22","1","0"
"1546797","I'm running Ubuntu and playing with Emacs for the first time but unfortunately it doesn't seem to see any sftp folders I currently have mounted. These folder are visible to nautilus and gedit.

Can any experienced emac users point me in the right direction?
","Emacs: How to view sftp folders","1546811","2009-10-10 01:41:17","2","0"
"1569838","What is the Right Way for a well-behaved program in a GNOME environment to manipulate the mixer? (volume, muting, etc)

DBus? ALSA directly? something else?
","volume/mixer manipulation in GNOME","1569883","2009-10-15 01:21:50","1","0"
"1580206","I've googled and googled and I can't find the docs for writing extensions to Nautilus.
","nautilus extensions: where are the docs?","1580229","2009-10-16 20:23:50","2","0"
"1629172","Using C++ on the Linux desktop, what is the best way to get the icon, the document description and the application ""associated"" with an arbitrary file/file path? 

I'd like to use the most ""canonical"" way to find icons, mime-type/file type descriptions and associated applications on both KDE and gnome and I'd like to avoid any ""shelling out"" to the command line and ""low-level"" routines as well as avoiding re-inventing the wheel myself (no parsing the mime-types file and such). 

Edits and Notes:

Hey, I originally asked this question about the QT file info object and the answer that ""there is no clear answer"" seems to be correct as far as it goes. BUT this is such a screwed-up situation that I am opening the question looking for more information. 

I don't care about QT in particular any more, I'm just looking for the most cannonical way to find the mime type via C++/c function calls on both KDE and gnome (especially Gnome, since that's where things confuse me most). I want to be able show icons and descriptions matching Nautilus in Gnome and Konquerer/whatever on KDE as well as opening files appropriately, etc. 

I suppose it's OK that I get this separately for KDE and Gnome. The big question is what's the most common/best/cannonical way to get all this information for the Linux desktop? Gnome documentation is especially opaque. gnome-vsf has mime routines but it's deprecated and I can't find a mime routine for GIO/GFS, gnome-vsf's replacement. There's a vague implication that one should use the open desktop applications but which one to use is obscure. And where does libmagic and xdg fit in?  

Pointers to an essay summarizing the issues gladly accepted. Again, I know the three line answer is ""no such animal"" but I'm looking for the long answer.  
","How do you get the icon, MIME type, and application associated with a file in the Linux Desktop?","2170880","2009-10-27 07:11:51","7","1"
"1672113","When I'm trying to get the idle time of the gnome screensaver in seconds, through dbus, python throws an TypeError.

In the documentation I found for the screensaver sessionIdleTime, it returns a unsigned integer. <a href=""http://www.gnome.org/~mccann/gnome-screensaver/docs/gnome-screensaver.html#gs-method-GetSessionIdle"" rel=""nofollow"">http://www.gnome.org/~mccann/gnome-screensaver/docs/gnome-screensaver.html#gs-method-GetSessionIdle</a>

However, when I'm in the python shell, the output is converterted to a string, while I can't seen to be able to cast it as a string in the program.

gs = gs = bus.get_object('org.gnome.ScreenSaver','/org/gnome/ScreenSaver')
message = str(gs.GetSessionIdleTime())
","DBus Python Problems","1673464","2009-11-04 07:04:23","1","0"
"1680311","In Gnome, whenever an application is started, the mouse cursor changes from normal to an activity indicator (a spinning wheel type thing on Ubuntu). Is there any way to inform Gnome (through some system call) when the application has finished launching so that the mouse cursor returns to normal without waiting for the usual timeout of 30 seconds to occur.

I have a program in Pythong using GTK+ that is showing the icon even after launching, so what system call do I make?
","GTK+ Startup Notification Icon","1680917","2009-11-05 12:39:50","4","0"
"1700995","I'm working on a server-side project that consists of several services. Each service is run in interactive (i.e. non-daemon) mode, this is handy while active development. The project is in virtualenv. So the typical way to start a service is:

$ cd ~/to/vitualenv/subdir/where/service/code/located
$ source ../path/to/virtualenv/bin/activate
$ ./script-to-start-service
+ Set title of terminal to the service name via GUI


It would be ok if there were 2-3 services at all. But we have a dozen. And restarting all of them after computer reboot is a real pain.

So what I want is a script, that once executed opens me new gnome-terminal window with a dozen of named tabs (one per service), with activated virtualenv in each and running bunch of service instances in that tabs. The best result I've got so far is:

$ gnome-terminal --working-directory=~/to/vitualenv/subdir --window --tab --tab


--title and --profile looks like been ignored and if --command is specified newly opened window is closed just in moment after open.

Any ideas? How to source activation script, give a title, and run service?

P.S. It is for development purposes only, not for deployment on real servers.
","gnome-terminal, virtualenv and a bunch of services","1701224","2009-11-09 13:29:26","2","0"
"1731220","I'm running gnome and have a program that spawns off a large number of separate processes each with its own gui window. I'd like to be able to selectively grab open windows whose titles match a certain pattern to close them. Anyone know a way to do this easily ? 
","How might I grab all windows with a certain word in their titles?","1731303","2009-11-13 19:09:39","2","0"
"1741067","I've got a program running in a GNOME Terminal, but the screensaver is acting up and won't let me back in with my password. While waiting for a fix for <a href=""https://bugs.launchpad.net/ubuntu/+source/gnome-screensaver/+bug/435928"" rel=""nofollow"">the gnome-screensaver bug</a>, is there some way to see the output (or even take over the process) in a virtual console (Ctrl-Alt-F1) without being able to interact with the GNOME Terminal?

Clarification: The original issue was the screensaver, but the question I'd like answered is how to see the output from a process running in another terminal, after starting the process without any logging to file. I'm guessing it should be possible to set the output device of a process from a different shell? Or is it possible to put a process in another shell into background mode, and get it into the foreground in the current shell? Or even ask GNOME Terminal to redirect or copy the output?
","See GNOME Terminal output in virtual console","1741217","2009-11-16 09:33:27","5","1"
"1756806","What would be the most simple way of adding and changing an icon in the Ubuntu (Gnome) Panel? I'm looking for something as simple as shell scripting, but I'm not restricted to that. Will write a program for it if that's a better or simpler approach.

The idea is to create a script/program to monitor some condition (e.g. availability of a mount point, availability of internet connection), and change the state of the icon to reflect the current status.
","Add a changing icon to Ubuntu Panel","1757127","2009-11-18 15:31:20","1","0"
"1800971","I done lots of googling but I am still unsure on how to proceed.

What's the most common way of reading/write to the clipboard under Linux?  I want both support for Gnome &amp; KDE desktops.

Updated: do I take there isn't an easy solution and one must ""aggregate"" together multiple sources (gnome, kde) in order to craft a solution?
","linux clipboard read/write in C","1804852","2009-11-26 00:49:24","2","0"
